ID,Label
0,0
1,1
2,8
3,0
4,3
5,0
6,8
7,4
8,5
9,0
10,3
11,8
12,8
13,8
14,8
15,5
16,0
17,3
18,6
19,0
20,4
21,8
22,0
23,1
24,5
25,5
26,8
27,4
28,4
29,1
30,5
31,5
32,0
33,8
34,1
35,0
36,5
37,8
38,0
39,0
40,8
41,0
42,4
43,8
44,4
45,0
46,3
47,3
48,8
49,3
50,6
51,8
52,5
53,3
54,0
55,0
56,5
57,4
58,8
59,3
60,8
61,5
62,4
63,6
64,1
65,1
66,0
67,5
68,5
69,0
70,5
71,8
72,8
73,0
74,5
75,5
76,1
77,0
78,8
79,8
80,5
81,8
82,1
83,8
84,8
85,8
86,4
87,8
88,1
89,8
90,3
91,8
92,4
93,8
94,5
95,3
96,8
97,5
98,7
99,3
100,5
101,8
102,5
103,8
104,8
105,0
106,3
107,8
108,0
109,5
110,5
111,5
112,4
113,4
114,5
115,5
116,0
117,8
118,5
119,1
120,0
121,5
122,8
123,4
124,7
125,0
126,5
127,5
128,0
129,3
130,1
131,5
132,5
133,4
134,5
135,6
136,4
137,8
138,0
139,4
140,3
141,3
142,3
143,4
144,8
145,8
146,0
147,0
148,1
149,3
150,8
151,3
152,3
153,1
154,5
155,8
156,3
157,3
158,5
159,5
160,6
161,5
162,7
163,8
164,6
165,4
166,0
167,8
168,5
169,4
170,8
171,8
172,5
173,0
174,8
175,4
176,8
177,5
178,5
179,5
180,7
181,1
182,3
183,5
184,1
185,5
186,5
187,6
188,0
189,5
190,4
191,5
192,1
193,6
194,8
195,0
196,8
197,4
198,8
199,5
200,0
201,8
202,0
203,5
204,5
205,8
206,0
207,0
208,1
209,5
210,8
211,0
212,7
213,1
214,5
215,5
216,5
217,8
218,8
219,8
220,5
221,5
222,0
223,0
224,8
225,4
226,5
227,5
228,8
229,1
230,5
231,5
232,0
233,0
234,5
235,5
236,8
237,0
238,5
239,8
240,1
241,5
242,5
243,5
244,0
245,0
246,3
247,5
248,8
249,3
250,8
251,1
252,0
253,8
254,8
255,8
256,4
257,5
258,8
259,3
260,1
261,6
262,4
263,8
264,4
265,5
266,3
267,5
268,6
269,8
270,6
271,8
272,8
273,6
274,5
275,0
276,5
277,5
278,5
279,5
280,8
281,0
282,4
283,8
284,8
285,8
286,3
287,1
288,8
289,8
290,8
291,1
292,8
293,1
294,3
295,0
296,4
297,1
298,5
299,8
300,5
301,0
302,0
303,5
304,0
305,8
306,5
307,4
308,5
309,5
310,1
311,3
312,6
313,3
314,5
315,8
316,5
317,0
318,0
319,0
320,8
321,0
322,5
323,0
324,8
325,5
326,8
327,5
328,5
329,8
330,1
331,0
332,5
333,5
334,6
335,6
336,1
337,8
338,3
339,8
340,0
341,5
342,5
343,0
344,0
345,0
346,5
347,8
348,0
349,8
350,5
351,6
352,8
353,3
354,0
355,8
356,0
357,8
358,5
359,5
360,5
361,8
362,8
363,0
364,5
365,1
366,8
367,5
368,5
369,5
370,0
371,4
372,0
373,0
374,0
375,6
376,0
377,5
378,8
379,5
380,0
381,3
382,4
383,5
384,5
385,1
386,4
387,4
388,5
389,5
390,5
391,3
392,8
393,4
394,5
395,4
396,4
397,8
398,8
399,5
400,0
401,3
402,0
403,4
404,3
405,5
406,5
407,0
408,5
409,0
410,5
411,0
412,5
413,8
414,5
415,5
416,5
417,5
418,4
419,4
420,0
421,8
422,0
423,5
424,8
425,8
426,1
427,0
428,0
429,8
430,8
431,5
432,4
433,8
434,1
435,0
436,5
437,8
438,8
439,8
440,0
441,5
442,1
443,8
444,0
445,5
446,8
447,5
448,4
449,5
450,1
451,0
452,1
453,0
454,5
455,8
456,4
457,5
458,5
459,5
460,5
461,8
462,3
463,0
464,8
465,4
466,5
467,1
468,5
469,8
470,5
471,5
472,5
473,8
474,0
475,5
476,0
477,6
478,5
479,8
480,8
481,6
482,3
483,5
484,3
485,1
486,8
487,5
488,7
489,6
490,8
491,8
492,8
493,8
494,8
495,1
496,5
497,1
498,5
499,3
500,8
501,1
502,0
503,0
504,5
505,3
506,8
507,0
508,6
509,4
510,0
511,5
512,7
513,3
514,0
515,0
516,0
517,4
518,5
519,8
520,5
521,0
522,8
523,8
524,0
525,4
526,5
527,5
528,3
529,5
530,1
531,5
532,5
533,5
534,5
535,5
536,8
537,8
538,8
539,8
540,0
541,4
542,8
543,3
544,8
545,5
546,3
547,5
548,5
549,5
550,5
551,1
552,5
553,0
554,0
555,8
556,8
557,4
558,4
559,8
560,8
561,3
562,5
563,0
564,0
565,5
566,8
567,8
568,8
569,8
570,4
571,5
572,5
573,8
574,5
575,8
576,5
577,3
578,1
579,1
580,8
581,5
582,8
583,8
584,5
585,0
586,8
587,8
588,3
589,4
590,3
591,0
592,0
593,8
594,5
595,8
596,5
597,5
598,4
599,1
600,1
601,4
602,5
603,5
604,5
605,8
606,5
607,3
608,0
609,8
610,5
611,5
612,8
613,8
614,0
615,8
616,0
617,1
618,8
619,5
620,1
621,5
622,1
623,5
624,5
625,3
626,1
627,8
628,6
629,0
630,8
631,5
632,5
633,8
634,5
635,5
636,5
637,1
638,3
639,8
640,0
641,5
642,8
643,0
644,8
645,5
646,6
647,0
648,5
649,1
650,8
651,5
652,5
653,3
654,5
655,5
656,8
657,5
658,4
659,3
660,5
661,8
662,1
663,1
664,8
665,7
666,5
667,5
668,5
669,8
670,4
671,5
672,8
673,1
674,8
675,8
676,6
677,5
678,3
679,5
680,6
681,5
682,5
683,1
684,3
685,8
686,3
687,0
688,3
689,8
690,8
691,0
692,8
693,8
694,0
695,5
696,8
697,5
698,3
699,5
700,1
701,1
702,3
703,0
704,5
705,8
706,4
707,5
708,8
709,5
710,8
711,8
712,3
713,5
714,4
715,4
716,3
717,5
718,5
719,1
720,4
721,5
722,0
723,1
724,5
725,0
726,0
727,5
728,1
729,5
730,8
731,5
732,3
733,5
734,1
735,0
736,3
737,8
738,5
739,4
740,5
741,3
742,5
743,3
744,8
745,8
746,0
747,0
748,8
749,5
750,5
751,5
752,0
753,5
754,5
755,0
756,0
757,5
758,5
759,3
760,1
761,5
762,8
763,3
764,8
765,8
766,5
767,1
768,8
769,8
770,0
771,8
772,5
773,1
774,4
775,8
776,3
777,8
778,1
779,4
780,5
781,0
782,5
783,8
784,8
785,8
786,0
787,0
788,8
789,5
790,8
791,1
792,5
793,3
794,5
795,4
796,8
797,8
798,3
799,1
800,1
801,0
802,1
803,4
804,8
805,5
806,0
807,8
808,1
809,5
810,5
811,8
812,5
813,5
814,5
815,5
816,8
817,0
818,8
819,8
820,1
821,5
822,5
823,0
824,5
825,4
826,8
827,5
828,8
829,5
830,8
831,5
832,5
833,8
834,5
835,8
836,8
837,5
838,6
839,5
840,1
841,5
842,8
843,8
844,5
845,5
846,5
847,0
848,8
849,0
850,0
851,5
852,0
853,0
854,4
855,5
856,0
857,0
858,8
859,8
860,5
861,8
862,0
863,5
864,0
865,8
866,8
867,5
868,6
869,5
870,5
871,5
872,5
873,5
874,8
875,5
876,4
877,5
878,8
879,0
880,0
881,1
882,8
883,3
884,0
885,0
886,8
887,0
888,5
889,5
890,3
891,0
892,1
893,5
894,1
895,5
896,8
897,5
898,4
899,8
900,3
901,8
902,3
903,4
904,5
905,5
906,0
907,0
908,6
909,8
910,5
911,1
912,0
913,0
914,1
915,3
916,0
917,5
918,3
919,5
920,8
921,8
922,0
923,8
924,8
925,8
926,8
927,5
928,0
929,8
930,8
931,8
932,8
933,6
934,8
935,0
936,0
937,8
938,1
939,8
940,1
941,3
942,0
943,5
944,4
945,5
946,0
947,0
948,0
949,0
950,0
951,0
952,5
953,0
954,6
955,8
956,1
957,8
958,5
959,0
960,8
961,8
962,3
963,8
964,0
965,3
966,4
967,8
968,6
969,5
970,8
971,3
972,4
973,5
974,4
975,7
976,8
977,4
978,5
979,4
980,3
981,5
982,8
983,3
984,8
985,5
986,8
987,8
988,6
989,5
990,0
991,5
992,6
993,0
994,8
995,5
996,8
997,5
998,4
999,5
1000,8
1001,0
1002,4
1003,5
1004,0
1005,8
1006,8
1007,5
1008,1
1009,3
1010,8
1011,8
1012,1
1013,8
1014,8
1015,4
1016,8
1017,5
1018,5
1019,0
1020,8
1021,5
1022,5
1023,8
1024,8
1025,0
1026,8
1027,5
1028,8
1029,5
1030,5
1031,1
1032,8
1033,4
1034,5
1035,3
1036,0
1037,5
1038,4
1039,5
1040,0
1041,4
1042,5
1043,5
1044,5
1045,5
1046,8
1047,0
1048,8
1049,0
1050,4
1051,4
1052,5
1053,8
1054,3
1055,4
1056,0
1057,8
1058,8
1059,8
1060,5
